resid_kurtosis,resid_skewness,ljungbox_p_ac_10,ljungbox_p_ac2_10,ljungbox_p_ac_20,ljungbox_p_ac2_20,arch_lm_p,mean_diff,log_var_ratio,acf1_diff,median_diff,log_mad_ratio,ks_p_raw,ks_p_abs,ewma_vol_log_ratio,S_local_max_over_j,cnt_local_sum_over_j,cnt_common_sum_over_j,log_energy_ratio_l2norm_over_j,p_wavelet_break,confidence,id,break_strength
,,,,,,1.0,8.534245561473165e-05,-0.10558505358765757,0.0013367682615308407,-4.369534524159254e-05,-0.16269167524159386,0.5098367370847633,0.09498307422122187,-0.09291416769653355,0.0,0,0.0,0.0,0.0,,0,
,,,,,,1.0,7.620498522870347e-06,-0.2586060784541782,-0.08308300299573862,1.382723051615559e-05,-0.2000192322026656,0.2894441276255248,0.015204549530413346,-0.10938845042691686,0.0,0,0.0,0.0,0.0,,1,
,,,,,,1.0,-4.2450393114941954e-05,0.6277314916081266,-0.013798661661513556,-0.00044202068222689195,0.19350588011257283,0.15614382026098758,0.0006411013739933193,0.200456575708781,0.0,0,0.0,0.0,0.0,,2,
,,,,,,1.0,-1.4958204783734644e-05,0.13906169380422348,0.010040275173550606,0.00037255706447510714,0.11650456967053711,0.4259061035000908,0.07997488657105532,0.09015706808950752,0.0,0,0.0,0.0,0.0,,3,
,,,,,,1.0,6.615618059798199e-06,-0.003859658697213569,0.039302302953612395,-0.00015793964794411422,0.025739227462684335,0.9243076051397161,0.9142383211459494,0.013747841126295752,0.0,0,0.0,0.0,0.0,,4,
,,,,,,1.0,2.5888474807314055e-05,-0.01722933083236351,0.014996575768143117,0.0010224794607982812,-0.11415257316847707,0.5521820412698288,0.1279155447679564,-0.07334053277465079,0.0,0,0.0,0.0,0.0,,5,
,,,,,,1.0,1.2769656132853098e-06,-0.148638400727298,-0.017471713421249147,-9.90654526746848e-05,-0.03984695628708895,0.3698092815156212,0.23906144869133195,0.006083129733916477,0.0,0,0.0,0.0,0.0,,6,
0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0,,0.0,0.5,0.0,7,0.0
,,,,,,1.0,8.27802845217183e-06,-0.8163648165994501,-0.07067422249736977,2.8007243726736687e-05,-0.14556418604024499,0.6880552201845198,0.1556721388032667,-0.34135145119078936,0.0,0,0.0,0.0,0.0,,8,
,,,,,,1.0,-4.02336195710118e-05,-0.3645392433854518,0.006393221796093584,-0.0007793600000000002,-0.23169788618962153,0.0302116908888063,1.1580529233630658e-06,-0.2127023096386191,0.0,0,0.0,0.0,0.0,,9,
,,,,,,1.0,-8.088971065006346e-07,-0.6939486103525878,-0.09421938061812607,1.0019211337887457e-05,-0.24082422976291026,0.08341471018803928,2.9702591507012626e-05,-0.25131858148050756,0.0,0,0.0,0.0,0.0,,10,
,,,,,,1.0,-4.831668495532227e-06,-0.5168830057970725,-0.00688160130516402,-0.0006155900000000005,0.06917350427533264,0.49584047749331117,0.2694812516012817,0.20711951810944862,0.0,0,0.0,0.0,0.0,,11,
,,,,,,1.0,1.15253364316281e-05,-0.515123939312641,0.015730927179726406,0.0003056279692710477,-0.24380412458520362,0.045175332808527494,6.737107583416631e-05,-0.1239929581197259,0.0,0,0.0,0.0,0.0,,12,
,,,,,,1.0,-2.9577373706055174e-05,-0.06181605288028165,-0.05035962824488793,-0.00023926341824260123,-0.09484734969073931,0.3709463269969543,0.03418537545069912,-0.06787826857598396,0.0,0,0.0,0.0,0.0,,13,
,,,,,,1.0,2.3033386981859132e-05,-0.4500944361676851,-0.007150485306399168,-0.0004233195177935899,-0.028796114467053262,0.8839011096826369,0.8940082677896667,-0.20932698598113858,0.0,0,0.0,0.0,0.0,,14,
,,,,,,1.0,-5.845993061570004e-06,-0.8324865162667441,0.031209207361871716,0.00014145215093999436,-0.2414180701865122,0.059117317854681745,1.6411941990249613e-05,-0.18056479354736582,0.0,0,0.0,0.0,0.0,,15,
,,,,,,1.0,-3.7830022284405046e-06,-1.1332855818862846,-0.05283972953694682,6.979000000000013e-05,-0.5714563945836532,4.0085399472345476e-12,5.6668197966461e-37,-0.5426228954742248,0.0,0,0.0,0.0,0.0,,16,
,,,,,,1.0,-5.2637615544190945e-06,0.08249080096924605,-0.0692507399145636,-0.0011906843251315324,-0.01725935345084735,0.8379323146281521,0.29807117276540196,-0.052838675568535096,0.0,0,0.0,0.0,0.0,,17,
0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0,,0.0,0.5,0.0,18,0.0
,,,,,,1.0,-2.210694485580824e-06,-0.49355410323570814,-0.030801262870744472,1.2581146568452477e-05,-0.38760134439907284,0.00027951898028507146,1.0468497810635815e-13,-0.23546207783769205,0.0,0,0.0,0.0,0.0,,19,
,,,,,,1.0,-6.1646498220083915e-06,0.12083025190513946,-0.031382538909059066,3.733705283939399e-05,0.09612682373101368,0.43920955893005886,0.06951386033346346,0.05353719040599723,0.0,0,0.0,0.0,0.0,,20,
0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0,,0.0,0.5,0.0,21,0.0
0.0,0.0,,,,,,0.0,0.0,,,,,,,0.0,0,,0.0,0.5,0.0,22,0.0
-0.0016379420237546682,0.00013760518631863007,4.2009432720460036e-43,0.07092941037170125,2.4355226361590492e-39,0.0021778277729378637,0.07541363041225642,-1.5797722923170637e-06,0.08910602193748571,0.0145046426521388,7.660751277285436e-05,0.023316430300376965,0.9398642844158774,0.6049376073827518,0.02669386669005987,0.0,0,0.0,0.0,0.0,0.47230153365059085,23,
,,,,,,1.0,3.6280510738681435e-05,-0.1434734062618729,-0.007763521542449914,0.00010748627131818944,-0.08092367873222174,0.32814403508355255,0.025803704455598542,-0.07984775388680271,0.0,0,0.0,0.0,0.0,,24,
